DOCULECT,GLOSS,IPA
PergeTegu,"squeeze, mash (sth. soft)",kawⁿ+a
Tiranige,"squeeze, mash (sth. soft)",kam+i+yo
TogoKan,"squeeze, mash (sth. soft)",pug+u+ju
TommoSoTongoTongo,"squeeze, mash (sth. soft)",kam+a
ToroTegu,"squeeze, mash (sth. soft)",kum+i+yⁿ+o
YandaDom,"squeeze, mash (sth. soft)",pɔd+ɔ
YornoSo,"squeeze, mash (sth. soft)",kawⁿ+a
BankanTey,push,damb+i
BenTey,push,damb+i
Bunoge,push,dun+jur+e
DogulDomBendiely,push,dɔŋg+ɛ
DonnoSo,push,dɔŋg+ɛ
JamsayGourou,push,dam+a
JamsayDouentza,push,dam+a
JamsayMondoro,push,dam+a
Mombo,push,tumb+y+e+e
BonduSoNajamba,push,damb+e
Nanga,push,damb+i
Penange,push,tumb+ug+e
Penange,push,tumb+e
PergeTegu,push,damb+a
TebulUre,push,damb+i
Tiranige,push,damb+o
TogoKan,push,dem+e
TommoSoTongoTongo,push,damb+a
ToroTegu,push,dawⁿ+a
YandaDom,push,damb+al+i
YornoSo,push,dam+a
BankanTey,pull (sth),bas+a
BenTey,pull (sth),bas+a
Bunoge,pull (sth),gimb+ɛ
DogulDomBendiely,pull (sth),jimb+ɛ
DogulDomKundialang,pull (sth),jimb+ɛ
DonnoSo,pull (sth),jimb+ɛ
JamsayGourou,pull (sth),bas+a
JamsayDouentza,pull (sth),baj+a
JamsayMondoro,pull (sth),baj+a
Mombo,pull (sth),gɔb+ɛ
BonduSoNajamba,pull (sth),jumb+ɛ
Nanga,pull (sth),bas+a
Penange,pull (sth),gimb+ɛ
PergeTegu,pull (sth),bas+a
TebulUre,pull (sth),bad+a
Tiranige,pull (sth),imb+ɛ
TogoKan,pull (sth),baj+a
TommoSoTongoTongo,pull (sth),bin+je
ToroTegu,pull (sth),gag+a
YandaDom,pull (sth),dil+i+yo
YornoSo,pull (sth),biɲ+ɛ
BankanTey,"ride (donkey, horse, camel)",num+a
BenTey,"ride (donkey, horse, camel)",jɔɔmb+u
DonnoSo,"ride (donkey, horse, camel)",jɔm+mɔ
JamsayDouentza,"ride (donkey, horse, camel)",jɔɔm+ɔ
Mombo,"ride (donkey, horse, camel)",dug+u+rom+i
BonduSoNajamba,"ride (donkey, horse, camel)",yob+a+m
Nanga,"ride (donkey, horse, camel)",yɔg+ɔ+mi
PergeTegu,"ride (donkey, horse, camel)",jɔm+ɔ
TogoKan,"ride (donkey, horse, camel)",dinɛ+ɛ
TommoSoTongoTongo,"ride (donkey, horse, camel)",ja+a
ToroTegu,"ride (donkey, horse, camel)",zɔm+ɔ
YornoSo,"ride (donkey, horse, camel)",jɔm+nɔ
BankanTey,drive (vehicle),num+a
BenTey,drive (vehicle),jɔɔmb+u
Bunoge,drive (vehicle),dud+u+num+i
DonnoSo,drive (vehicle),jɔm+mɔ
JamsayDouentza,drive (vehicle),jɔɔm+ɔ
Mombo,drive (vehicle),dug+u+rom+i
BonduSoNajamba,drive (vehicle),yob+a+m
Nanga,drive (vehicle),yɔg+ɔ+mi
Penange,drive (vehicle),dug+u+rom+i
PergeTegu,drive (vehicle),jɔm+ɔ
Tiranige,drive (vehicle),dud+u+ruy+omu
TogoKan,drive (vehicle),jom+o
TommoSoTongoTongo,drive (vehicle),ja+a
ToroTegu,drive (vehicle),zɔm+ɔ
YandaDom,drive (vehicle),zɔb+ɔ+mɔ
YornoSo,drive (vehicle),jɔm+nɔ
BankanTey,throw (e.g. stone),gis+e
BenTey,throw (e.g. stone),pɔt+ɔ
Bunoge,throw (e.g. stone),dɔŋg+ɛ
DonnoSo,throw (e.g. stone),kamb+a
JamsayDouentza,throw (e.g. stone),kam+a
JamsayMondoro,throw (e.g. stone),kam+a
Mombo,throw (e.g. stone),guj+e
BonduSoNajamba,throw (e.g. stone),gij+e
BonduSoNajamba,throw (e.g. stone),er+e
Nanga,throw (e.g. stone),gis+e
Penange,throw (e.g. stone),guj+e
PergeTegu,throw (e.g. stone),pɔt+ɔ
TebulUre,throw (e.g. stone),gid+e
TebulUre,throw (e.g. stone),dag+a
Tiranige,throw (e.g. stone),pɔr+ɔ
TogoKan,throw (e.g. stone),kam+a
TommoSoTongoTongo,throw (e.g. stone),jumb+o
ToroTegu,throw (e.g. stone),daaⁿ+sa
YandaDom,throw (e.g. stone),giz+e
YornoSo,throw (e.g. stone),kam+a
BankanTey,touch (with hand),taw+a
BenTey,touch (with hand),taw+a
Bunoge,touch (with hand),nar+e
DogulDomBendiely,touch (with hand),tab+ɛ
DonnoSo,touch (with hand),tab+a
DonnoSo,touch (with hand),lar+a
JamsayGourou,touch (with hand),tɔw+ɔ
JamsayDouentza,touch (with hand),tɔw+ɔ
JamsayMondoro,touch (with hand),tɔw+ɔ
Mombo,touch (with hand),tab+ye+e
BonduSoNajamba,touch (with hand),doŋg+i
Nanga,touch (with hand),taw+a
Penange,touch (with hand),nar+e
PergeTegu,touch (with hand),taw+a
TebulUre,touch (with hand),tab+a
TiranigeBoui,touch (with hand),taw+o
TiranigeNingo,touch (with hand),tab+o
TogoKan,touch (with hand),tɔw+ɔ
TommoSoTongoTongo,touch (with hand),deŋ+e
ToroTegu,touch (with hand),dog+o
YandaDom,touch (with hand),tab+a+li
YornoSo,touch (with hand),tab+a
BankanTey,"caress, rub gently with fingers or palm",pup+u+ri
BenTey,"caress, rub gently with fingers or palm",pup+u+ru
Bunoge,"caress, rub gently with fingers or palm",koor+e
DonnoSo,"caress, rub gently with fingers or palm",pob+o+lom+ɔ
JamsayGourou,"caress, rub gently with fingers or palm",por+u+wo
JamsayDouentza,"caress, rub gently with fingers or palm",por+o+wo
JamsayMondoro,"caress, rub gently with fingers or palm",por+o+wo
Mombo,"caress, rub gently with fingers or palm",pog+u+lum+i
BonduSoNajamba,"caress, rub gently with fingers or palm",tab+i+lɛ
Nanga,"caress, rub gently with fingers or palm",pup+u+ri
Penange,"caress, rub gently with fingers or palm",pab+a+le
PergeTegu,"caress, rub gently with fingers or palm",pup+u+rɔ
Tiranige,"caress, rub gently with fingers or palm",taw+a+lo
TogoKan,"caress, rub gently with fingers or palm",poor+o+m
TommoSoTongoTongo,"caress, rub gently with fingers or palm",tab+i+lɛ
TommoSoTongoTongo,"caress, rub gently with fingers or palm",yew+u+le
ToroTegu,"caress, rub gently with fingers or palm",sum+ɔ
ToroTegu,"caress, rub gently with fingers or palm",taw+ra
YandaDom,"caress, rub gently with fingers or palm",pub+u+lɔ
YornoSo,"caress, rub gently with fingers or palm",pob+o+lom+ɔ
BankanTey,"fold (paper, garment)",mb+u+nd+o
BenTey,"fold (paper, garment)",mɛl+i
Bunoge,"fold (paper, garment)",pund+e
DogulDomBendiely,"fold (paper, garment)",mun+ne
DogulDomKundialang,"fold (paper, garment)",mun+ne
DonnoSo,"fold (paper, garment)",mun+ne
JamsayDouentza,"fold (paper, garment)",min+e
JamsayDouentza,"fold (paper, garment)",min+ɛ
Mombo,"fold (paper, garment)",pund+e
BonduSoNajamba,"fold (paper, garment)",mɛnd+ɛ
Nanga,"fold (paper, garment)",mɛnd+i
Penange,"fold (paper, garment)",pund+e
PergeTegu,"fold (paper, garment)",mɛl+ɛ
TebulUre,"fold (paper, garment)",mɛnd+i
Tiranige,"fold (paper, garment)",pɛl+ɔ
TogoKan,"fold (paper, garment)",min+e
TommoSoTongoTongo,"fold (paper, garment)",mɛn+nɛ
ToroTegu,"fold (paper, garment)",tuk+ɔ
YandaDom,"fold (paper, garment)",mɛn+ɛ
YornoSo,"fold (paper, garment)",mɛn+ɛ
BankanTey,"sweep (ground, courtyard)",ɛs+i
BenTey,"sweep (ground, courtyard)",sɛmb+i
Bunoge,"sweep (ground, courtyard)",ɲɛn+nɛ
DogulDomBendiely,"sweep (ground, courtyard)",sɛmb+ɛ
DonnoSo,"sweep (ground, courtyard)",sɛmb+ɛ
JamsayGourou,"sweep (ground, courtyard)",sɛm+ɛ
JamsayDouentza,"sweep (ground, courtyard)",sɛm+ɛ
JamsayMondoro,"sweep (ground, courtyard)",sɛm+ɛ
Mombo,"sweep (ground, courtyard)",gɛn+yɛ+ɛ
BonduSoNajamba,"sweep (ground, courtyard)",njul+e
Nanga,"sweep (ground, courtyard)",sɛmb+i
Nanga,"sweep (ground, courtyard)",usur+o
Penange,"sweep (ground, courtyard)",gɛɛn+yɛ
PergeTegu,"sweep (ground, courtyard)",sɛmb+ɛ
TebulUre,"sweep (ground, courtyard)",sɛmb+i
Tiranige,"sweep (ground, courtyard)",ijil+o
TogoKan,"sweep (ground, courtyard)",sɛm+ɛ
TommoSoTongoTongo,"sweep (ground, courtyard)",sɛmb+ɛ
ToroTegu,"sweep (ground, courtyard)",zat+a
YandaDom,"sweep (ground, courtyard)",sɛmb+ɛ
YornoSo,"sweep (ground, courtyard)",sɛm+ɛ
BenTey,rake (tool),beru+yaw+rii
DogulDomBendiely,rake (tool),wɔrɔ+wɔrɔ
DonnoSo,rake (tool),wɔrɔ+wɔru
JamsayDouentza,rake (tool),anjaa+ru
Nanga,rake (tool),beri+jaari
Nanga,rake (tool),jaari+jaari
Tiranige,rake (tool),sɔgɔ+geba+liye
TogoKan,rake (tool),jeru
ToroTegu,rake (tool),aratoo
BankanTey,broom,usirⁿii
BenTey,broom,usunii
Bunoge,broom,ɲeni+ŋga
DogulDomBendiely,broom,saŋa+la
DonnoSo,broom,saŋa+na
JamsayGourou,broom,saa+ma
JamsayDouentza,broom,saa+ma
JamsayMondoro,broom,saa+ma
Mombo,broom,geni
BonduSoNajamba,broom,njulu+lu
Nanga,broom,usiri
Nanga,broom,usuri
Penange,broom,geeni
PergeTegu,broom,geeru
TebulUre,broom,idilu+ŋgo
Tiranige,broom,ijili
TogoKan,broom,sɔmu+rⁿu
TommoSoTongoTongo,broom,joolu
ToroTegu,broom,zetu
YandaDom,broom,ezil
YornoSo,broom,jobu+l
BankanTey,write (sth),tɔwⁿ
BenTey,write (sth),tɔŋg+u
Bunoge,write (sth),nɔn+ɛ
DogulDomBendiely,write (sth),tɔŋ+ɛ
DonnoSo,write (sth),tɔŋ+ɛ
JamsayDouentza,write (sth),tɔŋ+ɔ
JamsayMondoro,write (sth),tɔŋ+ɔ
Mombo,write (sth),nɔn+ɛ
BonduSoNajamba,write (sth),tɔŋ+ɛ
Nanga,write (sth),tɔŋ+i
Penange,write (sth),sab+a+kan
PergeTegu,write (sth),tɔŋg+ɔ
Tiranige,write (sth),nɔn+ɔ
TogoKan,write (sth),tɔŋ+ɔ
TommoSoTongoTongo,write (sth),dɔɔ+ⁿtɔɔ+ⁿ
ToroTegu,write (sth),kɔr+ɔ
ToroTegu,write (sth),kɔr+ɔ
YandaDom,write (sth),toŋ+ɔ
YornoSo,write (sth),tɔŋ+ɔ
BankanTey,read (sth),jaŋg+ak+aŋ
BenTey,read (sth),jaŋg+ɛ
Bunoge,read (sth),jaŋg+ik+ani
DogulDomBendiely,read (sth),jaŋg+ɛ
DonnoSo,read (sth),jaŋg+a
JamsayDouentza,read (sth),jaŋg+ɛ
Mombo,read (sth),jaŋg+ik+ani
BonduSoNajamba,read (sth),jaŋg+ɛ
Nanga,read (sth),jaŋg+i
Penange,read (sth),kal+a+kan+i
PergeTegu,read (sth),jaŋg+ɛ
Tiranige,read (sth),jaŋg+ik+anu
TogoKan,read (sth),jaŋ+a
TommoSoTongoTongo,read (sth),jaŋg+a
ToroTegu,read (sth),karⁿ+a
YandaDom,read (sth),zaŋ+a+li
YornoSo,read (sth),jaŋ+a
BankanTey,paper,tila
BenTey,paper,sɛwɛ
Bunoge,paper,dɔɔko+ba
DogulDomBendiely,paper,dɔɔ
DogulDomKundialang,paper,dɔɔ
DonnoSo,paper,dɔɔ
JamsayGourou,paper,sɛwɛ
JamsayDouentza,paper,sɛwɛ
Mombo,paper,dɔɔ
BonduSoNajamba,paper,sabe
Nanga,paper,sɛw
Nanga,paper,sɛw+piri
Penange,paper,dɔɔkɔ+bɛ
PergeTegu,paper,sɛwɛ
Tiranige,paper,papi+ye
TogoKan,paper,sɛwɛ
TommoSoTongoTongo,paper,dɔɔ+ⁿ
ToroTegu,paper,tila
YandaDom,paper,dɔɔ+ⁿ
YornoSo,paper,sɛbɛ
BenTey,line (shape),siwaa
Bunoge,line (shape),siju
DogulDomBendiely,line (shape),sizi+ŋ
JamsayMondoro,line (shape),sije
Mombo,line (shape),oji
BonduSoNajamba,line (shape),sijoo
Nanga,line (shape),siwa
Penange,line (shape),diidi
Tiranige,line (shape),siji
TogoKan,line (shape),sije
TommoSoTongoTongo,line (shape),sidu
YornoSo,line (shape),siji
JamsayDouentza,draw (an image) (verb only),sij+e
Mombo,draw (an image) (verb only),sij+e
BonduSoNajamba,draw (an image) (verb only),nat+ɛ
PergeTegu,draw (an image) (verb only),nat+a
TogoKan,draw (an image) (verb only),tɔŋ+ɔ
TommoSoTongoTongo,draw (an image) (verb only),jɔɔ+ⁿ
YornoSo,draw (an image) (verb only),yal+a+yal
BankanTey,"kick (sth, sb)",tamb+i
BenTey,"kick (sth, sb)",tamb+a
Bunoge,"kick (sth, sb)",tamb+e
DogulDomBendiely,"kick (sth, sb)",tamb+ɛ
DonnoSo,"kick (sth, sb)",tamb+a
JamsayDouentza,"kick (sth, sb)",tam+a
JamsayMondoro,"kick (sth, sb)",tam+a
Mombo,"kick (sth, sb)",tamb+e
BonduSoNajamba,"kick (sth, sb)",bir+ɛ
Nanga,"kick (sth, sb)",tamb+i
Penange,"kick (sth, sb)",tamb+e
PergeTegu,"kick (sth, sb)",tamb+a
Tiranige,"kick (sth, sb)",pal+o
TogoKan,"kick (sth, sb)",tam+a
TommoSoTongoTongo,"kick (sth, sb)",tamb+a
ToroTegu,"kick (sth, sb)",tawⁿatam+a
YandaDom,"kick (sth, sb)",tamb+al+i
YornoSo,"kick (sth, sb)",tam+a
BankanTey,strangle,pɔr+ɔ
BenTey,strangle,pɔr+ɔ
Bunoge,strangle,mɛg+ɛ
DogulDomBendiely,strangle,pɔr+ɛ
DogulDomKundialang,strangle,pɔr+ɛ
DonnoSo,strangle,pɔr+ɛ
JamsayGourou,strangle,pɔr+ɔ
JamsayDouentza,strangle,pɔr+ɔ
Mombo,strangle,olye+e
BonduSoNajamba,strangle,pɔr+ɛ
Nanga,strangle,pɔr+ɔ
Penange,strangle,mɛg+ɛ
PergeTegu,strangle,pɔr+ɔ
Tiranige,strangle,ɔlɔ
TogoKan,strangle,pɔr+ɔ
TommoSoTongoTongo,strangle,pɔr+ɔ
ToroTegu,strangle,bɔg+ɔ
YandaDom,strangle,pɔd+ɔ
YornoSo,strangle,pɔr+ɔ
BenTey,do some carving (of wood),joŋg+or+ojar+a
TommoSoTongoTongo,do some carving (of wood),nob+i+len+aba
YornoSo,do some carving (of wood),lob+o+lol+aba
BankanTey,carve (wood),zar+a
BenTey,carve (wood),jar+a
Bunoge,carve (wood),yab+e
DogulDomBendiely,carve (wood),jaw+ɛ
DogulDomKundialang,carve (wood),jaw+e
DonnoSo,carve (wood),lab+a
JamsayGourou,carve (wood),law+a
JamsayDouentza,carve (wood),lɔw+ɔ
JamsayMondoro,carve (wood),lɔw+ɔ
Mombo,carve (wood),simb+ul+e
BonduSoNajamba,carve (wood),siy+a+me
Nanga,carve (wood),jar+a
Penange,carve (wood),yay+e
PergeTegu,carve (wood),law+a
TebulUre,carve (wood),lab+a
Tiranige,carve (wood),yay+o
TogoKan,carve (wood),lɔw+ɔ
TommoSoTongoTongo,carve (wood),nab+a
ToroTegu,carve (wood),wɔg+ɔ+rɔ
YandaDom,carve (wood),za+a
YornoSo,carve (wood),lab+a
BankanTey,"chop down, cut down (tree, with ax)",diŋg+ir+i
BenTey,"chop down, cut down (tree, with ax)",tɛr+ɛ
Bunoge,"chop down, cut down (tree, with ax)",dub+yɛ
DogulDomBendiely,"chop down, cut down (tree, with ax)",saŋ+ɛ
DonnoSo,"chop down, cut down (tree, with ax)",lnmb+og+olo
JamsayGourou,"chop down, cut down (tree, with ax)",tɛr+ɛ
JamsayDouentza,"chop down, cut down (tree, with ax)",tɛr+ɛ
Mombo,"chop down, cut down (tree, with ax)",kɛr+ɛ
BonduSoNajamba,"chop down, cut down (tree, with ax)",jɔg+ɛ
Nanga,"chop down, cut down (tree, with ax)",tɛr+ɛ
Nanga,"chop down, cut down (tree, with ax)",deŋg+e
Penange,"chop down, cut down (tree, with ax)",gun+je
PergeTegu,"chop down, cut down (tree, with ax)",tɛr+ɛ
TebulUre,"chop down, cut down (tree, with ax)",deŋg+e
Tiranige,"chop down, cut down (tree, with ax)",dɛŋ+ɔ
TogoKan,"chop down, cut down (tree, with ax)",kɛj+ɛ
TommoSoTongoTongo,"chop down, cut down (tree, with ax)",da+a
ToroTegu,"chop down, cut down (tree, with ax)",tɛr+a
YandaDom,"chop down, cut down (tree, with ax)",j+ɛ
YandaDom,"chop down, cut down (tree, with ax)",deŋ+e
YornoSo,"chop down, cut down (tree, with ax)",jar+a
BenTey,"chop, cut (firewood)",tel+e
Bunoge,"chop, cut (firewood)",kɛr+ɛ
Bunoge,"chop, cut (firewood)",par+a+ge
DonnoSo,"chop, cut (firewood)",gum+mo
JamsayDouentza,"chop, cut (firewood)",tɛr+ɛ
JamsayDouentza,"chop, cut (firewood)",tɛr+ɛ+jar+a
Mombo,"chop, cut (firewood)",sil+e+be
Nanga,"chop, cut (firewood)",kɛs+ɛ
Penange,"chop, cut (firewood)",kɛr+ɛ
PergeTegu,"chop, cut (firewood)",tɛr+ɛ
TebulUre,"chop, cut (firewood)",ked+e
Tiranige,"chop, cut (firewood)",tɛl+ɔ
TogoKan,"chop, cut (firewood)",kɛj+ɛ
TommoSoTongoTongo,"chop, cut (firewood)",tin+u+tin+ɛ
ToroTegu,"chop, cut (firewood)",tɛr+a
YandaDom,"chop, cut (firewood)",deŋ+e
YornoSo,"chop, cut (firewood)",kɛj+ɛ
BankanTey,cut or break (stone) into small pieces,bɛɛr+i
BenTey,cut or break (stone) into small pieces,bɛg+ɛ+wa
JamsayDouentza,cut or break (stone) into small pieces,bɛr+gɛ
Mombo,cut or break (stone) into small pieces,pij+a+ge
BonduSoNajamba,cut or break (stone) into small pieces,daag+we
Nanga,cut or break (stone) into small pieces,bɛg+ɛ+mi
PergeTegu,cut or break (stone) into small pieces,pɛ+ɛ
TogoKan,cut or break (stone) into small pieces,tɛw+ɛ
TommoSoTongoTongo,cut or break (stone) into small pieces,pɛl+ɛ
ToroTegu,cut or break (stone) into small pieces,wɛs+ka
YornoSo,cut or break (stone) into small pieces,jɔg+ɔ
BankanTey,"saw (tool, e.g. for sawing calabashes)",ce+ndi
BenTey,"saw (tool, e.g. for sawing calabashes)",bi+mbii
Bunoge,"saw (tool, e.g. for sawing calabashes)",kaan+ja
DonnoSo,"saw (tool, e.g. for sawing calabashes)",gaba+seŋ
JamsayGourou,"saw (tool, e.g. for sawing calabashes)",bi+m
JamsayDouentza,"saw (tool, e.g. for sawing calabashes)",bi+m
JamsayMondoro,"saw (tool, e.g. for sawing calabashes)",bi+m
Mombo,"saw (tool, e.g. for sawing calabashes)",kaan+ja
BonduSoNajamba,"saw (tool, e.g. for sawing calabashes)",se+mii
BonduSoNajamba,"saw (tool, e.g. for sawing calabashes)",se+mii
Nanga,"saw (tool, e.g. for sawing calabashes)",bi+mbi
Nanga,"saw (tool, e.g. for sawing calabashes)",por+bi+mbi
Penange,"saw (tool, e.g. for sawing calabashes)",kaan+ja
PergeTegu,"saw (tool, e.g. for sawing calabashes)",bii+mbu
Tiranige,"saw (tool, e.g. for sawing calabashes)",gaaja
TogoKan,"saw (tool, e.g. for sawing calabashes)",sii
TommoSoTongoTongo,"saw (tool, e.g. for sawing calabashes)",bi+mbu
ToroTegu,"saw (tool, e.g. for sawing calabashes)",giiⁿgaa+ⁿ
YandaDom,"saw (tool, e.g. for sawing calabashes)",bii+mbu
YornoSo,"saw (tool, e.g. for sawing calabashes)",bi+mu
BankanTey,split (wood),gumb+o
BenTey,split (wood),gumb+o
Bunoge,split (wood),kaag+e
DogulDomBendiely,split (wood),tul+le
DonnoSo,split (wood),gum+mo
JamsayDouentza,split (wood),gum+o
JamsayDouentza,split (wood),gum+u+rⁿ+o
JamsayMondoro,split (wood),gum+o
Mombo,split (wood),gumb+e
BonduSoNajamba,split (wood),koy+e
Nanga,split (wood),ko+o
Nanga,split (wood),kaw+ri
Penange,split (wood),gumb+e
Penange,split (wood),gumb+ug+e
PergeTegu,split (wood),gumb+o
TebulUre,split (wood),kab+i+li
Tiranige,split (wood),kaw+a+go
TogoKan,split (wood),gum+o
TommoSoTongoTongo,split (wood),bul+o
ToroTegu,split (wood),ko
YandaDom,split (wood),gum+o
YornoSo,split (wood),gum+ɔ
BankanTey,"peel (fruit, gingerroot) with knife",kɔɔs+i
BenTey,"peel (fruit, gingerroot) with knife",sɛw+ru
Bunoge,"peel (fruit, gingerroot) with knife",komb+ol+e
DonnoSo,"peel (fruit, gingerroot) with knife",kɔd+ɛ
JamsayDouentza,"peel (fruit, gingerroot) with knife",sɛl+tɛ
JamsayMondoro,"peel (fruit, gingerroot) with knife",kog+o+ro
Mombo,"peel (fruit, gingerroot) with knife",kɔj+ɛ
BonduSoNajamba,"peel (fruit, gingerroot) with knife",wɛn+jɛ
Nanga,"peel (fruit, gingerroot) with knife",sɛw+ri
Penange,"peel (fruit, gingerroot) with knife",komb+ol+e
PergeTegu,"peel (fruit, gingerroot) with knife",sɛt+ɛ
Tiranige,"peel (fruit, gingerroot) with knife",gug+ɔ
TogoKan,"peel (fruit, gingerroot) with knife",koor+u
TommoSoTongoTongo,"peel (fruit, gingerroot) with knife",wɛn+jɛ
ToroTegu,"peel (fruit, gingerroot) with knife",sel+o
YandaDom,"peel (fruit, gingerroot) with knife",kɔz+ɔ
YornoSo,"peel (fruit, gingerroot) with knife",kɔj+ɔ
BenTey,"break (e.g. bread, cassava) in half with the hands",poɲ+o+ro
Bunoge,"break (e.g. bread, cassava) in half with the hands",mel+a+ge
DonnoSo,"break (e.g. bread, cassava) in half with the hands",pol+le
JamsayDouentza,"break (e.g. bread, cassava) in half with the hands",pɛɛr+ɛ
Penange,"break (e.g. bread, cassava) in half with the hands",gil+a+ge
Tiranige,"break (e.g. bread, cassava) in half with the hands",jin+a+ŋg+o
Tiranige,"break (e.g. bread, cassava) in half with the hands",pur+u+go
TogoKan,"break (e.g. bread, cassava) in half with the hands",pɛɛg+ɛ
ToroTegu,"break (e.g. bread, cassava) in half with the hands",duŋg+ur+ɔ
YandaDom,"break (e.g. bread, cassava) in half with the hands",pol+lo
YornoSo,"break (e.g. bread, cassava) in half with the hands",pul+o
BankanTey,"rip, tear (sth)",kar+i+yi
BenTey,"rip, tear (sth)",kaar+i
BenTey,"rip, tear (sth)",ɛmb+i
Bunoge,"rip, tear (sth)",pan+jag+e
DonnoSo,"rip, tear (sth)",kiin+e
JamsayGourou,"rip, tear (sth)",kaar+a
JamsayDouentza,"rip, tear (sth)",kaar+a
Mombo,"rip, tear (sth)",kaŋg+ag+e
Mombo,"rip, tear (sth)",kiil+e
BonduSoNajamba,"rip, tear (sth)",ariy+ɛ
BonduSoNajamba,"rip, tear (sth)",kaaj+i+yɛ
Nanga,"rip, tear (sth)",kaar+i
Nanga,"rip, tear (sth)",kar+a+gi
Penange,"rip, tear (sth)",pan+jag+e
PergeTegu,"rip, tear (sth)",kaar+a
TebulUre,"rip, tear (sth)",kad+di
Tiranige,"rip, tear (sth)",paj+a+go
TogoKan,"rip, tear (sth)",kaar+i
TommoSoTongoTongo,"rip, tear (sth)",kaad+i+yɛ
ToroTegu,"rip, tear (sth)",kar+ka
YandaDom,"rip, tear (sth)",kaaz+i+yɛ
YornoSo,"rip, tear (sth)",kaal+a
BankanTey,"scale, scrape the scales off (a fish)",kaas+i
BenTey,"scale, scrape the scales off (a fish)",kaas+i
DonnoSo,"scale, scrape the scales off (a fish)",kɔd+ɛ
JamsayDouentza,"scale, scrape the scales off (a fish)",kɔɔj+ɔ
JamsayMondoro,"scale, scrape the scales off (a fish)",kɔɔj+ɔ
Mombo,"scale, scrape the scales off (a fish)",kaj+a+le
BonduSoNajamba,"scale, scrape the scales off (a fish)",kɔj+ɛ
Nanga,"scale, scrape the scales off (a fish)",ka+a
PergeTegu,"scale, scrape the scales off (a fish)",kag+u+sa
Tiranige,"scale, scrape the scales off (a fish)",kɔj+ɔ
TogoKan,"scale, scrape the scales off (a fish)",kaj+a
TommoSoTongoTongo,"scale, scrape the scales off (a fish)",kɔɔd+ɔ
ToroTegu,"scale, scrape the scales off (a fish)",kɔs+u
YornoSo,"scale, scrape the scales off (a fish)",kɔj+ɔ
BankanTey,"scour, scrape (e.g. pot)",kɔɔs+i
BenTey,"scour, scrape (e.g. pot)",koos+u
Bunoge,"scour, scrape (e.g. pot)",kaj+e
DonnoSo,"scour, scrape (e.g. pot)",kɔd+ɛ
JamsayGourou,"scour, scrape (e.g. pot)",kooz+o
JamsayGourou,"scour, scrape (e.g. pot)",koos+o
JamsayDouentza,"scour, scrape (e.g. pot)",kɔɔj+ɔ
Mombo,"scour, scrape (e.g. pot)",kɔj+ɛ
BonduSoNajamba,"scour, scrape (e.g. pot)",kɔj+ɛ
Nanga,"scour, scrape (e.g. pot)",kɔɔs+i
Penange,"scour, scrape (e.g. pot)",kɔj+ɛ
PergeTegu,"scour, scrape (e.g. pot)",koos+o
Tiranige,"scour, scrape (e.g. pot)",kɔj+ɔ
TogoKan,"scour, scrape (e.g. pot)",koj+o
TommoSoTongoTongo,"scour, scrape (e.g. pot)",kɔɔd+ɔ
ToroTegu,"scour, scrape (e.g. pot)",kos+u+ro
YandaDom,"scour, scrape (e.g. pot)",kɔz+ɔ
YornoSo,"scour, scrape (e.g. pot)",kɔj+ɔ
BankanTey,"pinch (e.g a pimple, to expel the pus)",pɔr+ɔ
BenTey,"pinch (e.g a pimple, to expel the pus)",pɔr+ɔ
DonnoSo,"pinch (e.g a pimple, to expel the pus)",pin+e
JamsayDouentza,"pinch (e.g a pimple, to expel the pus)",soog+o
BonduSoNajamba,"pinch (e.g a pimple, to expel the pus)",pɛj+ɛ
Nanga,"pinch (e.g a pimple, to expel the pus)",pos+o+gi
PergeTegu,"pinch (e.g a pimple, to expel the pus)",pirⁿ+ɛ
Tiranige,"pinch (e.g a pimple, to expel the pus)",pind+o
TogoKan,"pinch (e.g a pimple, to expel the pus)",pirⁿ+i
TommoSoTongoTongo,"pinch (e.g a pimple, to expel the pus)",pin+ɛ
ToroTegu,"pinch (e.g a pimple, to expel the pus)",cɛwⁿ+a
YornoSo,"pinch (e.g a pimple, to expel the pus)",pɛrⁿ+ɛ
BankanTey,dig (sth),gaz+i
BenTey,dig (sth),gan+ji
Bunoge,dig (sth),gɔj+ɛ
DogulDomKundialang,dig (sth),gan+je
DogulDomKundialang,dig (sth),gul+e
DonnoSo,dig (sth),wan+ja
JamsayGourou,dig (sth),za+aⁿ
JamsayDouentza,dig (sth),ja+aⁿ
JamsayMondoro,dig (sth),ja+aⁿ
Mombo,dig (sth),gan+je
BonduSoNajamba,dig (sth),gul+e
Nanga,dig (sth),gan+ji
Nanga,dig (sth),gun+jo
Penange,dig (sth),gaj+e
PergeTegu,dig (sth),gan+ja
TebulUre,dig (sth),gul+o
Tiranige,dig (sth),kɔl+ɔ
TogoKan,dig (sth),ja+a
TommoSoTongoTongo,dig (sth),gul+o
TommoSoTongoTongo,dig (sth),wan+ja
ToroTegu,dig (sth),gas+a
YandaDom,dig (sth),gul+o
YornoSo,dig (sth),gul+o
Ampari,"go to sleep, fall asleep, sleep",ɛɛnd+e
BankanTey,"go to sleep, fall asleep, sleep",niyⁿ+ɛ
BenTey,"go to sleep, fall asleep, sleep",jir+e+niin+iiyⁿ+i
