ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT
12230	TogoKan	(a) shop, store	biti+gi	b i t i + g i	75	b i t i + g i
12231	TommoSoTongoTongo	(a) shop, store	bidi+k	b i d i + k	75	b i d i + k -
12232	ToroTegu	(a) shop, store	biti+ki	b i t i + k i	75	b i t i + k i
12233	ToroTegu	(a) shop, store	dɔru+dɔrui+lo	d ɔ r u + d ɔ r ui + l o	83	d ɔ r u + d ɔ r ui + l o
12234	YandaDom	(a) shop, store	bidi+gu	b i d i + g u	75	b i d i + g u
7768	BonduSoNajamba	(a) swelling (of a wound)	amiyɛ+ŋgo	a m iyɛ + ŋ g o	84	a m iyɛ + ŋ g o
7769	TogoKan	(a) swelling (of a wound)	pide	p i d e	85	p i d e
7770	TommoSoTongoTongo	(a) swelling (of a wound)	piiri+ye	p ii r i + ye	86	p ii r i + ye
7771	YornoSo	(a) swelling (of a wound)	piiree	p ii r ee	86	p ii r ee - -
4327	BankanTey	(act of) fasting	mb+u+bup+ay	m b + u + b u p + ay	87	m b + u + b u p + ay
4328	BankanTey	(act of) fasting	kɔr+ka	k ɔ r + k a	90	k ɔ r + k a
4329	BenTey	(act of) fasting	moop+a+gi+i	m oo p + a + g i + i	88	- m oo p + a + g i + i
4330	DogulDomKundialang	(act of) fasting	kor+ka	k o r + k a	90	k o r + k a
4331	DonnoSo	(act of) fasting	kɔr+gɔ	k ɔ r + g ɔ	90	k ɔ r + g ɔ
4332	JamsayDouentza	(act of) fasting	kaap+a+gu	k aa p + a + g u	92	- k aa p + a + g u
4333	Mombo	(act of) fasting	kɔr+ka	k ɔ r + k a	90	k ɔ r + k a
4334	BonduSoNajamba	(act of) fasting	ibip+a+gil+e	i b i p + a + g i l + e	89	i b i p + a + g i l + e
4335	Nanga	(act of) fasting	nɔɔp+a+gi	n ɔɔ p + a + g i	88	- n ɔɔ p + a + g i - -
4336	Penange	(act of) fasting	sus+uⁿtul+e	s u s + uⁿ t u l + e	95	s u s + uⁿ t u l + e
4337	Penange	(act of) fasting	sus+uⁿnib+o	s u s + uⁿ n i b + o	106	s u s + uⁿ n i b + o
4338	PergeTegu	(act of) fasting	kaap+a+gu	k aa p + a + g u	92	- k aa p + a + g u
4339	TebulUre	(act of) fasting	mb+u+pag+u	m b + u + p a g + u	97	m b + u + p a g + u
4340	Tiranige	(act of) fasting	ɔmɔp+a+ga	ɔ m ɔ p + a + g a	88	ɔ m ɔ p + a + g a - -
4341	TogoKan	(act of) fasting	kaⁿpag+u	k aⁿ p a g + u	99	k aⁿ p a g + u
4342	TommoSoTongoTongo	(act of) fasting	aŋap+a+gu	a ŋ a p + a + g u	92	a ŋ a p + a + g u
4343	TommoSoTongoTongo	(act of) fasting	kɔr+ka	k ɔ r + k a	90	k ɔ r + k a
4344	TomoKanSegue	(act of) fasting	sus+uⁿ	s u s + uⁿ	95	s u s + uⁿ - - - - -
4345	ToroTegu	(act of) fasting	kap+a+gu	k a p + a + g u	92	- k a p + a + g u
4346	YandaDom	(act of) fasting	mb+o+pag+u	m b + o + p a g + u	97	m b + o + p a g + u
4347	YornoSo	(act of) fasting	aŋap+a+gu	a ŋ a p + a + g u	92	a ŋ a p + a + g u
4057	BankanTey	(any) alcoholic beverage	kɔzɔ	k ɔ z ɔ	107	k ɔ z ɔ
4058	BenTey	(any) alcoholic beverage	kɔn+jɔ	k ɔ n + j ɔ	108	k ɔ n + j ɔ - - - -
4059	DogulDomBendiely	(any) alcoholic beverage	kɔ+ɲjɔ	k ɔ + ɲ j ɔ	110	k ɔ + ɲ j ɔ
4060	JamsayDouentza	(any) alcoholic beverage	kɔɲɔ	k ɔ ɲ ɔ	107	k ɔ ɲ ɔ
4061	Mombo	(any) alcoholic beverage	kɔ+nd+yɔ	k ɔ + n d + yɔ	112	k ɔ + n d + yɔ
4062	BonduSoNajamba	(any) alcoholic beverage	kɔn+jɛ+ŋge	k ɔ n + j ɛ + ŋ g e	108	k ɔ n + j ɛ + ŋ g e
4063	Nanga	(any) alcoholic beverage	kɔn+jɔ	k ɔ n + j ɔ	108	k ɔ n + j ɔ - - - -
4064	PergeTegu	(any) alcoholic beverage	kɔn+jɔ	k ɔ n + j ɔ	108	k ɔ n + j ɔ - - - -
4065	TogoKan	(any) alcoholic beverage	kɛɲɛ	k ɛ ɲ ɛ	115	k ɛ ɲ ɛ
4066	TommoSoTongoTongo	(any) alcoholic beverage	kɔn+jɔ	k ɔ n + j ɔ	108	k ɔ n + j ɔ - - - -
4067	ToroTegu	(any) alcoholic beverage	kɔⁿsɔ	k ɔⁿ s ɔ	107	k ɔⁿ s ɔ
4068	YandaDom	(any) alcoholic beverage	kɔn+zɔ	k ɔ n + z ɔ	108	k ɔ n + z ɔ - - - -
4069	YornoSo	(any) alcoholic beverage	kɔɲɔ	k ɔ ɲ ɔ	107	k ɔ ɲ ɔ
4610	Nanga	(any) fish trap	isiyɔ+gi	i s iyɔ + g i	116	i s iyɔ + g i
4611	TommoSoTongoTongo	(any) fish trap	jɔɔ+ⁿ	j ɔɔ +ⁿ	117	j ɔɔ +ⁿ
4612	ToroTegu	(any) fish trap	sarⁿa	s a rⁿ a	118	s a rⁿ a
