# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA
9539	BankanTey	(imam) preach, give a sermon	wááj+ò+káŋ
9540	BenTey	(imam) preach, give a sermon	wááj+ɛ̀+wááj+ɛ́
9541	Bunoge	(imam) preach, give a sermon	wààj+ù+kán+ì
9542	DogulDomBendiely	(imam) preach, give a sermon	wáj+è+kàn+ɛ́
9543	DogulDomKundialang	(imam) preach, give a sermon	wáàj+kán+è
9544	DonnoSo	(imam) preach, give a sermon	wááj+ù+kán+à
9545	JamsayGourou	(imam) preach, give a sermon	tírⁿíwⁿ+ɛ́
9546	JamsayDouentza	(imam) preach, give a sermon	wááj+ù+wááj+ɛ́
9547	BonduSoNajamba	(imam) preach, give a sermon	wááj+ù+wááj+ɛ́
9548	Nanga	(imam) preach, give a sermon	wááj+ɛ̀+wááj+í
9549	Penange	(imam) preach, give a sermon	wááj+í+kán
9550	PergeTegu	(imam) preach, give a sermon	wááj+ɛ̀+wááj+ɛ́
9551	TebulUre	(imam) preach, give a sermon	wááj+ɛ́+wááj+ɛ́
9552	Tiranige	(imam) preach, give a sermon	wààj+í+kán+ú
9553	TogoKan	(imam) preach, give a sermon	wááj+ú+wááj+ù
9554	TommoSoTongoTongo	(imam) preach, give a sermon	wáàj+ù+kán+á
9555	ToroTegu	(imam) preach, give a sermon	kárⁿ+á
9556	YornoSo	(imam) preach, give a sermon	wááj+ù+kún+ɔ́
9557	YornoSo	(imam) preach, give a sermon	wááj+ù+tág+á
#
7503	BenTey	(legs) be spread, be separated	gɔ̀mb+íííy+í
7504	DonnoSo	(legs) be spread, be separated	gɔ̌ɔ̌mb+ɔ̀
7505	DonnoSo	(legs) be spread, be separated	gɔ̀mb+ɛ́+ɛ́
7506	Mombo	(legs) be spread, be separated	gɔ́mb+ɛ́
7507	Nanga	(legs) be spread, be separated	gɔ̀mb+íííy+í
7508	TommoSoTongoTongo	(legs) be spread, be separated	wàn+ná
#
5797	BankanTey	(liquid) drip (one drop at a time)	ték+é
5798	BenTey	(liquid) drip (one drop at a time)	tég+é
5799	Bunoge	(liquid) drip (one drop at a time)	tɛ́g+ɛ̀
5800	DogulDomBendiely	(liquid) drip (one drop at a time)	tèn+é
5801	DogulDomKundialang	(liquid) drip (one drop at a time)	tén+è
5802	DonnoSo	(liquid) drip (one drop at a time)	tél+è
5803	JamsayGourou	(liquid) drip (one drop at a time)	sóm+ó
5804	JamsayDouentza	(liquid) drip (one drop at a time)	lém+lémb+àɣ+á
5805	Mombo	(liquid) drip (one drop at a time)	sól+é
5806	BonduSoNajamba	(liquid) drip (one drop at a time)	tég+í
5807	Nanga	(liquid) drip (one drop at a time)	tég+é
5808	Penange	(liquid) drip (one drop at a time)	dég+é
5809	PergeTegu	(liquid) drip (one drop at a time)	tég+é
5810	TebulUre	(liquid) drip (one drop at a time)	tég+é
5811	Tiranige	(liquid) drip (one drop at a time)	dég+ó
5812	Tiranige	(liquid) drip (one drop at a time)	dèg+ú+dèg+ùkán+ú
5813	TogoKan	(liquid) drip (one drop at a time)	léw+é
5814	TogoKan	(liquid) drip (one drop at a time)	sór+ó
5815	TommoSoTongoTongo	(liquid) drip (one drop at a time)	tég+é
5816	ToroTegu	(liquid) drip (one drop at a time)	lék+ú+ró
5817	YandaDom	(liquid) drip (one drop at a time)	tég+é
5818	YandaDom	(liquid) drip (one drop at a time)	sómb+ó
5819	YornoSo	(liquid) drip (one drop at a time)	tég+é
#
8954	BankanTey	(man's) sister	pòyâ+m
8955	BenTey	(man's) sister	pòyàá
8956	DogulDomBendiely	(man's) sister	sáà
8957	DogulDomKundialang	(man's) sister	sàáŋ
8958	DonnoSo	(man's) sister	sa᷈a᷈
8959	DonnoSo	(man's) sister	yààsa᷈a᷈
8960	JamsayDouentza	(man's) sister	yɛ̀sàá
8961	JamsayMondoro	(man's) sister	yɛ̀sàá
8962	TebulUre	(man's) sister	sá
8963	Tiranige	(man's) sister	bàà
8964	TommoSoTongoTongo	(man's) sister	sáá
8965	ToroTegu	(man's) sister	ísúyⁿá+rⁿú
8966	YandaDom	(man's) sister	sàà
8967	YornoSo	(man's) sister	yàsàá
#
2951	BankanTey	(man) copulate with, fuck (woman)	gùm+ɔ́
2952	BenTey	(man) copulate with, fuck (woman)	gùwⁿ+ɔ́
2953	JamsayDouentza	(man) copulate with, fuck (woman)	sɛ́r+ɛ́
2954	Mombo	(man) copulate with, fuck (woman)	yɔ̀ɔ̀nd+òb+íyè
2955	BonduSoNajamba	(man) copulate with, fuck (woman)	gùm+ɛ́
2956	Nanga	(man) copulate with, fuck (woman)	gùm+ɔ́
2957	Penange	(man) copulate with, fuck (woman)	mɔ́r+ɛ́
2958	PergeTegu	(man) copulate with, fuck (woman)	sɛ́r+ɛ́
2959	TogoKan	(man) copulate with, fuck (woman)	nɔ̀ŋ+ú+nɔ́ɲ+ɔ́
2960	TommoSoTongoTongo	(man) copulate with, fuck (woman)	gùm+ɔ́
2961	TommoSoTongoTongo	(man) copulate with, fuck (woman)	kán+á
2962	TomoKanDiangassagou	(man) copulate with, fuck (woman)	ùbààb+í+rɛ́
2963	TomoKanSegue	(man) copulate with, fuck (woman)	ùbààb+ì+rɛ̀
2964	ToroTegu	(man) copulate with, fuck (woman)	sɛ́r+á
2965	YandaDom	(man) copulate with, fuck (woman)	gùm+ɔ́
2966	YornoSo	(man) copulate with, fuck (woman)	ɔ́gɔ́
#
9792	BankanTey	(man) marry (woman)	sér+é
9793	BankanTey	(man) marry (woman)	z+ɛ́
9794	BenTey	(man) marry (woman)	j+ɛ̌
9795	Bunoge	(man) marry (woman)	kél+dè
9796	DogulDomKundialang	(man) marry (woman)	ɛ́yy+ɛ̀
9797	DonnoSo	(man) marry (woman)	jɛ́ɛ̀
9798	JamsayGourou	(man) marry (woman)	zɛ́+ɛ́
9799	JamsayDouentza	(man) marry (woman)	jɛ̌+ɛ̌
9800	JamsayDouentza	(man) marry (woman)	tán+á+ŋá
9801	JamsayMondoro	(man) marry (woman)	jɛ̌+ɛ̌
9802	Mombo	(man) marry (woman)	yɔ̂ɔ̂k+é+dd+è
9803	BonduSoNajamba	(man) marry (woman)	j+ɛ́
9804	Nanga	(man) marry (woman)	jɛ̌+ɛ̌
